City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Mar Del Plata,AR,71.6,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Atuona,PF,79.63,light rain,-9.8,-139.0333,Villa Enata
16,Honiara,SB,81.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
23,Majalgaon,IN,78.26,scattered clouds,19.15,76.2333,इंद्रायणी ढाबा
24,Rikitea,PF,78.69,clear sky,-23.1203,-134.9692,Pension Maro'i
25,Busselton,AU,72.0,overcast clouds,-33.65,115.3333,Observatory Guest House
32,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
33,Cabo San Lucas,MX,75.2,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
35,Madang,PG,81.81,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
37,Hobart,AU,70.0,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
40,Puerto Carreno,CO,88.0,broken clouds,6.189,-67.4859,Casa Hotel Victoria
41,Kapaa,US,73.4,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
42,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
43,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
48,Yarada,IN,75.2,mist,17.65,83.2667,Jeevan
52,Sao Gabriel Da Cachoeira,BR,72.46,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
56,Port Blair,IN,77.7,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
57,Lorengau,PG,84.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
60,Saint-Pierre,RE,75.2,light rain,-21.3393,55.4781,Lindsey Hôtel
63,Dumai,ID,74.82,overcast clouds,1.6833,101.45,Grand Zuri Dumai
68,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
70,East London,ZA,73.8,clear sky,-33.0153,27.9116,Tu Casa
71,Manokwari,ID,81.81,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
72,Vao,NC,77.18,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
82,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
84,Bambanglipuro,ID,78.21,light rain,-7.95,110.2833,Puri Brata
85,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
88,Mareeba,AU,84.2,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
89,Camapua,BR,72.28,few clouds,-19.5314,-54.0439,Comercial Estrela
96,New Norfolk,AU,70.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
98,Bairnsdale,AU,71.01,broken clouds,-37.8333,147.6167,Town Central Motel
101,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
106,Hithadhoo,MV,77.99,overcast clouds,-0.6,73.0833,Scoop Guest House
107,Vanimo,PG,82.58,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
110,Port Keats,AU,81.36,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
111,Pisco,PE,77.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
121,Carnarvon,AU,78.8,few clouds,-24.8667,113.6333,Hospitality Carnarvon
122,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
125,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
126,Charlestown,AU,82.99,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
127,Matara,LK,75.9,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
134,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
135,Rodrigues Alves,BR,78.8,clear sky,-7.7379999999999995,-72.6509,Pousada Aconchego
139,Pak Phanang,TH,75.2,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
140,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
141,Tebingtinggi,ID,73.4,haze,3.3285,99.1625,Hotel Malibou tebing tinggi
142,Gabu,GW,76.08,clear sky,12.2833,-14.2167,Hotel karsa
148,Puerto Ayora,EC,78.01,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
151,Sibolga,ID,75.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
158,Kavieng,PG,84.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
169,San Patricio,US,73.4,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
172,Flinders,AU,75.99,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
173,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
176,Natal,BR,80.6,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
179,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
181,Tchaourou,BJ,80.17,overcast clouds,8.8865,2.5975,SAFIR HOTEL
182,Zaraza,VE,76.6,overcast clouds,9.3503,-65.3245,Hotel Zaraza
184,Wajid,SO,72.64,clear sky,3.8093,43.2471,xamdihotelresturant114
185,Nanakuli,US,80.6,light rain,21.3906,-158.1547,Camp Pālehua
186,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
189,Gweta,BW,77.97,few clouds,-20.1833,25.2333,Gweta Lodge
190,Santiago Del Estero,AR,83.17,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
