City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,5.99,78,1,5.57,clear sky
1,Rio Grande,BR,-32.035,-52.0986,66.0,88,1,7.61,clear sky
2,Upernavik,GL,72.7868,-56.1549,7.9,82,39,3.09,scattered clouds
3,Ketchikan,US,55.3422,-131.6461,42.8,56,1,3.44,clear sky
4,Mar Del Plata,AR,-38.0023,-57.5575,71.6,73,0,10.36,clear sky
5,Atuona,PF,-9.8,-139.0333,79.63,79,35,16.35,light rain
6,Gewane,ET,10.1664,40.6453,74.91,65,0,3.06,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,64.0,95,100,8.28,light rain
8,Guerrero Negro,MX,27.9769,-114.0611,60.64,58,74,20.51,broken clouds
9,Mataura,NZ,-46.1927,168.8643,55.99,68,12,1.01,few clouds
10,Hermanus,ZA,-34.4187,19.2345,64.0,95,99,8.68,overcast clouds
11,Pacific Grove,US,36.6177,-121.9166,53.01,70,100,5.01,overcast clouds
12,Beringovskiy,RU,63.05,179.3167,-3.12,83,51,2.06,broken clouds
13,San Quintin,MX,30.4833,-115.95,58.87,61,18,15.19,few clouds
14,Nuuk,GL,64.1835,-51.7216,21.2,86,90,3.89,light snow
15,Anupgarh,IN,29.1911,73.2086,65.23,28,0,3.91,clear sky
16,Honiara,SB,-9.4333,159.95,81.09,75,99,1.01,overcast clouds
17,Bluff,NZ,-46.6,168.3333,55.99,68,12,1.01,few clouds
18,Saint George,US,37.1041,-113.5841,48.99,46,90,23.02,overcast clouds
19,Nadym,RU,65.5333,72.5167,-34.19,84,0,2.57,clear sky
20,Vestmannaeyjar,IS,63.4427,-20.2734,34.57,83,93,28.9,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,46.4,57,75,23.02,broken clouds
22,Constitucion,CL,-35.3333,-72.4167,61.75,94,33,6.51,scattered clouds
23,Majalgaon,IN,19.15,76.2333,78.26,23,44,7.52,scattered clouds
24,Rikitea,PF,-23.1203,-134.9692,78.69,75,8,17.29,clear sky
25,Busselton,AU,-33.65,115.3333,72.0,90,100,3.0,overcast clouds
26,Kachug,RU,53.9606,105.8817,10.06,92,0,1.61,clear sky
27,Morro Bay,US,35.3658,-120.8499,55.0,75,75,1.99,broken clouds
28,Honningsvag,NO,70.9821,25.9704,22.84,95,100,31.14,overcast clouds
29,Lata,PT,40.1629,-8.3327,55.0,92,100,1.34,overcast clouds
30,Hefei,CN,31.8639,117.2808,50.0,87,90,4.47,light rain
31,Takahashi,JP,34.7833,133.6167,37.4,75,40,3.44,scattered clouds
32,Avarua,CK,-21.2078,-159.775,82.4,83,75,6.91,light rain
33,Cabo San Lucas,MX,22.8909,-109.9124,75.2,53,40,11.5,scattered clouds
34,Husavik,IS,66.0449,-17.3389,32.0,86,90,14.97,snow
35,Madang,PG,-5.2246,145.7966,81.81,73,92,4.56,overcast clouds
36,Ponta Do Sol,PT,32.6667,-17.1,60.8,72,40,10.36,scattered clouds
37,Hobart,AU,-42.8794,147.3294,70.0,55,20,5.75,few clouds
38,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,90,9.22,mist
39,Nishihara,JP,26.1842,127.7558,69.8,56,40,4.61,scattered clouds
40,Puerto Carreno,CO,6.189,-67.4859,88.0,39,60,9.15,broken clouds
41,Kapaa,US,22.0752,-159.319,73.4,88,90,13.8,heavy intensity rain
42,Vaini,TO,-21.2,-175.2,84.2,65,20,8.05,few clouds
43,Butaritari,KI,3.0707,172.7902,81.39,77,85,10.76,light rain
44,Kodiak,US,57.79,-152.4072,35.6,51,75,12.66,broken clouds
45,Cape Town,ZA,-33.9258,18.4232,64.99,100,75,1.14,broken clouds
46,Manono,CD,-7.3,27.4167,68.18,89,58,2.82,broken clouds
47,Krasnyy Yar,RU,46.5331,48.3456,19.4,63,0,6.71,clear sky
48,Yarada,IN,17.65,83.2667,75.2,94,20,5.75,mist
49,Abha,SA,18.2164,42.5053,64.4,77,0,2.06,clear sky
